,Prophage,Cluster,AttP,Category,Contig,End,Identifier,Length,Species,Start,Unique,Virulence
0,CF00055-00431-20-61731-89106,A,yes,6,20.0,89106,CF00055-00431,27375,MAB,61731,CF00055-00431-20-61731-89106,Virulence Absent
1,CF00134-00138-36-244-30007,Cluster,yes,6,36.0,30007,CF00134-00138,29763,MAB,244,CF00134-00138-36-244-30007,Virulence Absent
2,CF00080-00085-6-19259-61415,Cluster,yes,6,6.0,61415,CF00080-00085,42156,MAB,19259,CF00080-00085-6-19259-61415,Virulence Absent
3,CF00116-00120-17-19259-61415,Cluster,yes,6,17.0,61415,CF00116-00120,42156,MAB,19259,CF00116-00120-17-19259-61415,Virulence Absent
4,CF00208-00451-32-947-16359,P,yes,6,32.0,16359,CF00208-00451,15412,MAB,947,CF00208-00451-32-947-16359,Virulence Absent
5,CF00113-00117-23-291-16741,Cluster,yes,6,23.0,16741,CF00113-00117,16450,MBOL,291,CF00113-00117-23-291-16741,Virulence Absent
6,CF00008-00026-32-1970-16485,P,yes,6,32.0,16485,CF00008-00026,14515,MMAS,1970,CF00008-00026-32-1970-16485,Virulence Absent
7,CF00067-00436-13-27037-77078,M,yes,6,13.0,77078,CF00067-00436,50041,MAB,27037,CF00067-00436-13-27037-77078,Contains Bacterial Virulence
8,CF00158-00160-14-27037-77078,M,yes,6,14.0,77078,CF00158-00160,50041,MAB,27037,CF00158-00160-14-27037-77078,Contains Bacterial Virulence
9,CF00144-00147-14-68403-119453,K,yes,6,14.0,119453,CF00144-00147,51050,MAB,68403,CF00144-00147-14-68403-119453,Contains Bacterial Virulence
10,CF00142-00145-31-1617-39944,M,yes,6,31.0,39944,CF00142-00145,38327,MAB,1617,CF00142-00145-31-1617-39944,Virulence Absent
11,CF00138-00141-7-69835-117899,K,yes,6,7.0,117899,CF00138-00141,48064,MAB,69835,CF00138-00141-7-69835-117899,Contains Bacterial Virulence
12,CF00007-00024-1-181155-255149,Cluster,yes,4,1.0,255149,CF00007-00024,73994,MINT,181155,CF00007-00024-1-181155-255149,Contains Bacterial Virulence
13,CF00134-00138-22-140-39718,Cluster,yes,6,22.0,39718,CF00134-00138,39578,MAB,140,CF00134-00138-22-140-39718,Contains Bacterial Virulence
14,CF00107-00704-8-42264-96674,K,yes,6,8.0,96674,CF00107-00704,54410,MAB,42264,CF00107-00704-8-42264-96674,Contains Bacterial Virulence
15,CF00143-00146-12-69878-117229,G,yes,6,12.0,117229,CF00143-00146,47351,MAB,69878,CF00143-00146-12-69878-117229,Contains Bacterial Virulence
16,CF00788-00688-2-1-18525,Cluster,yes,6,2.0,18525,CF00788-00688,18524,MAB,1,CF00788-00688-2-1-18525,Virulence Absent
17,CF00076-00179-15-14616-54913,Cluster,yes,6,15.0,54913,CF00076-00179,40297,MAB,14616,CF00076-00179-15-14616-54913,Virulence Absent
18,CF00151-00153-28-14616-54913,Cluster,yes,6,28.0,54913,CF00151-00153,40297,MAB,14616,CF00151-00153-28-14616-54913,Virulence Absent
19,CF00149-00151-16-63319-104452,Cluster,yes,6,16.0,104452,CF00149-00151,41133,MAB,63319,CF00149-00151-16-63319-104452,Contains Bacterial Virulence
20,CF00123-00127-4-104757-147250,G,yes,6,4.0,147250,CF00123-00127,42493,MAB,104757,CF00123-00127-4-104757-147250,Virulence Absent
21,GCF_001050395-528197-580840,M,yes,6,,580840,GCF_001050395,52643,MAB,528197,GCF_001050395-528197-580840,Contains Bacterial Virulence
22,GCF_003076795-1680815-1746709,Cluster,yes,4,,1746709,GCF_003076795,65894,MAB,1680815,GCF_003076795-1680815-1746709,Virulence Absent
23,GCF_003076875-3130345-3164903,F,yes,5,,3164903,GCF_003076875,34558,MAB,3130345,GCF_003076875-3130345-3164903,Virulence Absent
24,CF00206-00449-2-109301-154800,F,yes,4,2.0,154800,CF00206-00449,45499,MMAS,109301,CF00206-00449-2-109301-154800,Virulence Absent
25,GCF_003076855-3101192-3135750,F,yes,5,,3135750,GCF_003076855,34558,MAB,3101192,GCF_003076855-3101192-3135750,Virulence Absent
26,GCF_003609715-3445614-3524876,B,yes,5,,3524876,GCF_003609715,79262,MAB,3445614,GCF_003609715-3445614-3524876,Virulence Absent
27,CF00788-00688-20-63167-88470,K,yes,6,20.0,88470,CF00788-00688,25303,MAB,63167,CF00788-00688-20-63167-88470,Contains Bacterial Virulence
28,GCF_001677155-3513605-3574325,Z,yes,5,,3574325,GCF_001677155,60720,MAB,3513605,GCF_001677155-3513605-3574325,Contains Bacterial Virulence
29,GCF_001430775-3316872-3377592,Z,yes,5,,3377592,GCF_001430775,60720,MAB,3316872,GCF_001430775-3316872-3377592,Contains Bacterial Virulence
30,GCF_001606315-3513867-3574587,Z,yes,5,,3574587,GCF_001606315,60720,MAB,3513867,GCF_001606315-3513867-3574587,Contains Bacterial Virulence
31,CF00788-00688-2-33145-93383,Cluster,yes,5,2.0,93383,CF00788-00688,60238,MAB,33145,CF00788-00688-2-33145-93383,Contains Bacterial Virulence
32,GCF_001610675-500725-554213,F,yes,5,,554213,GCF_001610675,53488,MAB,500725,GCF_001610675-500725-554213,Virulence Absent
33,GCF_001677215-500725-554213,F,yes,5,,554213,GCF_001677215,53488,MAB,500725,GCF_001677215-500725-554213,Virulence Absent
34,CF00040-00180-14-12532-65381,D,yes,5,14.0,65381,CF00040-00180,52849,MAB,12532,CF00040-00180-14-12532-65381,Virulence Absent
35,CF00020-00045-30-12875-52853,M,yes,6,30.0,52853,CF00020-00045,39978,MBOL,12875,CF00020-00045-30-12875-52853,Virulence Absent
36,CF00148-00210-22-64198-107112,A,yes,4,22.0,107112,CF00148-00210,42914,MAB,64198,CF00148-00210-22-64198-107112,Virulence Absent
37,CF00053-00404-35-1507-35799,A,yes,4,35.0,35799,CF00053-00404,34292,MAB,1507,CF00053-00404-35-1507-35799,Virulence Absent
38,CF00154-00156-36-1506-35798,A,yes,4,36.0,35798,CF00154-00156,34292,MAB,1506,CF00154-00156-36-1506-35798,Virulence Absent
39,GCF_001606295-1763127-1820360,A,yes,4,,1820360,GCF_001606295,57233,MAB,1763127,GCF_001606295-1763127-1820360,Virulence Absent
40,CF00135-00139-18-64206-107120,A,yes,4,18.0,107120,CF00135-00139,42914,MAB,64206,CF00135-00139-18-64206-107120,Virulence Absent
41,GCF_003586385-1767448-1832447,A,yes,4,,1832447,GCF_003586385,64999,MAB,1767448,GCF_003586385-1767448-1832447,Virulence Absent
42,CF00090-00095-18-49-42951,A,yes,4,18.0,42951,CF00090-00095,42902,MAB,49,CF00090-00095-18-49-42951,Virulence Absent
43,CF00118-00122-19-2-42916,A,yes,4,19.0,42916,CF00118-00122,42914,MAB,2,CF00118-00122-19-2-42916,Virulence Absent
44,CF00097-00102-19-64200-107114,A,yes,4,19.0,107114,CF00097-00102,42914,MAB,64200,CF00097-00102-19-64200-107114,Virulence Absent
45,GCF_001606215-233916-316864,P,yes,5,,316864,GCF_001606215,82948,MAB,233916,GCF_001606215-233916-316864,Contains Bacterial Virulence
46,CF00064-00439-20-6682-82136,L,yes,4,20.0,82136,CF00064-00439,75454,MAB,6682,CF00064-00439-20-6682-82136,Virulence Absent
47,CF00054-00430-13-31386-69328,Q,yes,5,13.0,69328,CF00054-00430,37942,MMAS,31386,CF00054-00430-13-31386-69328,Virulence Absent
48,CF00044-00420-11-72498-126207,K,yes,6,11.0,126207,CF00044-00420,53709,MAB,72498,CF00044-00420-11-72498-126207,Contains Bacterial Virulence
49,GCF_001610675-867353-945803,Cluster,yes,4,,945803,GCF_001610675,78450,MAB,867353,GCF_001610675-867353-945803,Virulence Absent
50,GCF_001677215-865067-945992,Cluster,yes,4,,945992,GCF_001677215,80925,MAB,865067,GCF_001677215-865067-945992,Virulence Absent
51,CF00148-00208-36-13429-39033,Cluster,yes,6,36.0,39033,CF00148-00208,25604,MMAS,13429,CF00148-00208-36-13429-39033,Contains Bacterial Virulence
52,CF00054-00430-34-13429-39033,Cluster,yes,6,34.0,39033,CF00054-00430,25604,MMAS,13429,CF00054-00430-34-13429-39033,Contains Bacterial Virulence
53,GCF_001610615-239152-312410,Cluster,yes,5,,312410,GCF_001610615,73258,MAB,239152,GCF_001610615-239152-312410,Contains Bacterial Virulence
54,CF00064-00439-17-19755-98387,L,yes,4,17.0,98387,CF00064-00439,78632,MAB,19755,CF00064-00439-17-19755-98387,Virulence Absent
55,CF00039-00415-8-3-36301,B,yes,6,8.0,36301,CF00039-00415,36298,MAB,3,CF00039-00415-8-3-36301,Virulence Absent
56,CF00038-00414-19-12500-71141,Cluster,yes,4,19.0,71141,CF00038-00414,58641,MAB,12500,CF00038-00414-19-12500-71141,Contains Bacterial Virulence
57,GCF_001610675-231526-303917,P,yes,5,,303917,GCF_001610675,72391,MAB,231526,GCF_001610675-231526-303917,Contains Bacterial Virulence
58,GCF_001677215-231526-303917,P,yes,5,,303917,GCF_001677215,72391,MAB,231526,GCF_001677215-231526-303917,Contains Bacterial Virulence
59,CF00211-00454-4-30207-68990,Cluster,yes,4,4.0,68990,CF00211-00454,38783,MAB,30207,CF00211-00454-4-30207-68990,Virulence Absent
60,GCF_001606335-2402507-2437611,K,yes,4,,2437611,GCF_001606335,35104,MAB,2402507,GCF_001606335-2402507-2437611,Virulence Absent
61,CF00783-00676-8-61138-107985,A,yes,4,8.0,107985,CF00783-00676,46847,MAB,61138,CF00783-00676-8-61138-107985,Virulence Absent
62,CF00280-00677-12-75546-125813,C,yes,4,12.0,125813,CF00280-00677,50267,MAB,75546,CF00280-00677-12-75546-125813,Virulence Absent
63,CF00043-00419-6-110870-176977,F,yes,4,6.0,176977,CF00043-00419,66107,MAB,110870,CF00043-00419-6-110870-176977,Contains Bacterial Virulence
64,GCF_001606235-691746-747486,T,yes,4,,747486,GCF_001606235,55740,MAB,691746,GCF_001606235-691746-747486,Contains Bacterial Virulence
65,CF00004-00018-31-34196-70962,A,yes,6,31.0,70962,CF00004-00018,36766,MINT,34196,CF00004-00018-31-34196-70962,Contains Bacterial Virulence
66,CF00068-00219-26-2289-47832,K,yes,4,26.0,47832,CF00068-00219,45543,MAB,2289,CF00068-00219-26-2289-47832,Contains Bacterial Virulence
67,CF00170-00171-9-47516-125443,M,yes,4,9.0,125443,CF00170-00171,77927,MMAS,47516,CF00170-00171-9-47516-125443,Virulence Absent
68,CF00158-00160-12-65990-118553,Cluster,yes,4,12.0,118553,CF00158-00160,52563,MAB,65990,CF00158-00160-12-65990-118553,Virulence Absent
69,CF00142-00145-11-65989-118552,Cluster,yes,4,11.0,118552,CF00142-00145,52563,MAB,65989,CF00142-00145-11-65989-118552,Virulence Absent
70,CF00079-00228-2-260981-325351,C,yes,5,2.0,325351,CF00079-00228,64370,MINT,260981,CF00079-00228-2-260981-325351,Contains Bacterial Virulence
71,GCF_001606275-502290-565010,N,yes,4,,565010,GCF_001606275,62720,MAB,502290,GCF_001606275-502290-565010,Contains Bacterial Virulence
72,CF00308-00653-13-2-39872,M,yes,4,13.0,39872,CF00308-00653,39870,MAB,2,CF00308-00653-13-2-39872,Virulence Absent
73,CF00026-00061-22-64122-81643,P,yes,6,22.0,81643,CF00026-00061,17521,MAB,64122,CF00026-00061-22-64122-81643,Virulence Absent
74,CF00764-00646-3-87223-123014,Cluster,yes,4,3.0,123014,CF00764-00646,35791,MAB,87223,CF00764-00646-3-87223-123014,Virulence Absent
75,GCF_000497265-1816166-1878188,F,yes,4,,1878188,GCF_000497265,62022,MAB,1816166,GCF_000497265-1816166-1878188,Virulence Absent
76,CF00035-00411-1-310295-372222,F,yes,4,1.0,372222,CF00035-00411,61927,MMAS,310295,CF00035-00411-1-310295-372222,Contains Bacterial Virulence
77,GCF_001610635-1152464-1199499,F,yes,4,,1199499,GCF_001610635,47035,MAB,1152464,GCF_001610635-1152464-1199499,Contains Bacterial Virulence
78,CF00024-00056-10-72-31029,F,yes,4,10.0,31029,CF00024-00056,30957,MMAS,72,CF00024-00056-10-72-31029,Virulence Absent
79,CF00042-00418-17-59-48320,F,yes,4,17.0,48320,CF00042-00418,48261,MMAS,59,CF00042-00418-17-59-48320,Virulence Absent
80,CF00091-00096-7-127874-176150,F,yes,4,7.0,176150,CF00091-00096,48276,MMAS,127874,CF00091-00096-7-127874-176150,Virulence Absent
81,CF00316-00499-14-67-48328,F,yes,4,14.0,48328,CF00316-00499,48261,MMAS,67,CF00316-00499-14-67-48328,Virulence Absent
82,CF00766-00648-14-52-48313,F,yes,4,14.0,48313,CF00766-00648,48261,MMAS,52,CF00766-00648-14-52-48313,Virulence Absent
83,CF00002-00014-8-4442-64809,Cluster,yes,5,8.0,64809,CF00002-00014,60367,MCHIM,4442,CF00002-00014-8-4442-64809,Virulence Absent
84,CF00034-00410-20-64194-107067,F,yes,4,20.0,107067,CF00034-00410,42873,MAB,64194,CF00034-00410-20-64194-107067,Virulence Absent
85,CF00154-00156-4-231149-279329,K,yes,4,4.0,279329,CF00154-00156,48180,MAB,231149,CF00154-00156-4-231149-279329,Contains Bacterial Virulence
86,CF00053-00404-2-1109-47071,K,yes,4,2.0,47071,CF00053-00404,45962,MAB,1109,CF00053-00404-2-1109-47071,Contains Bacterial Virulence
87,CF00160-00161-16-64181-107070,F,yes,4,16.0,107070,CF00160-00161,42889,MAB,64181,CF00160-00161-16-64181-107070,Virulence Absent
88,CF00026-00061-20-1-56424,K,yes,4,20.0,56424,CF00026-00061,56423,MAB,1,CF00026-00061-20-1-56424,Contains Bacterial Virulence
89,CF00079-00228-2-178783-235835,Cluster,yes,5,2.0,235835,CF00079-00228,57052,MINT,178783,CF00079-00228-2-178783-235835,Contains Bacterial Virulence
90,CF00103-00108-25-12275-30306,Cluster,yes,6,25.0,30306,CF00103-00108,18031,MAB,12275,CF00103-00108-25-12275-30306,Virulence Absent
91,CF00776-00667-30-17791-56777,Cluster,yes,6,30.0,56777,CF00776-00667,38986,MAV,17791,CF00776-00667-30-17791-56777,Virulence Absent
92,GCF_000014985-746705-805156,Cluster,yes,4,,805156,GCF_000014985,58451,MAV,746705,GCF_000014985-746705-805156,Contains Bacterial Virulence
93,CF00795-00699-30-1477-27922,Cluster,yes,6,30.0,27922,CF00795-00699,26445,MAB,1477,CF00795-00699-30-1477-27922,Contains Bacterial Virulence
94,CF00765-00647-21-56449-89354,Cluster,yes,6,21.0,89354,CF00765-00647,32905,MBOL,56449,CF00765-00647-21-56449-89354,Contains Bacterial Virulence
95,CF00032-00408-4-189404-215826,Cluster,yes,6,4.0,215826,CF00032-00408,26422,MAB,189404,CF00032-00408-4-189404-215826,Contains Bacterial Virulence
